Title,Artist,Album,Duration (seconds),File Path,Genre,Year,Play Count,Rating,Lyrics Path
Sialan,Adrian Khalif/Juicy Luicy,Sialan,268,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Sialan.mp3,,2023,0,0,
Tolong (Ku Sudah Bosan Sendirian),Budi Doremi/Pingkan/Billy,Tolong (Ku Sudah Bosan Sendirian),240,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Tolong (Ku Sudah Bosan Sendirian).mp3,,2020,0,0,
Perfect,Ed Sheeran,÷ (Deluxe),279,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Perfect.mp3,,2017,0,0,
Wishes,Jamie Miller,"Snowdrop (Original Television Soundtrack, Pt. 4)",242,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Wishes.mp3,,2022,0,0,
Lantas,Juicy Luicy,Sentimental,234,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Lantas.mp3,,2020,0,0,
Off My Face,Justin Bieber,Justice,163,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Off My Face.mp3,,2021,0,0,
ONLY,LeeHi,4 ONLY,239,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] ONLY.mp3,,2021,0,0,
Rahasia Hati,Nidji,5 cm (Original Motion Picture Soundtrack),333,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Rahasia Hati.mp3,,2013,0,0,
Risalah Hati,Pamungkas,Pupus / Risalah Hati,301,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Risalah Hati.mp3,,2021,0,0,
Lesung Pipi,Raim Laode,Lesung Pipi,226,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Lesung Pipi.mp3,,2023,0,0,D:/Kuliah/Semester 6/PemVis/Project/asset/Raim Laode - Lesung Pipi.lrc
Happiness,Rex Orange County,Apricot Princess,279,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Happiness.mp3,,2017,0,0,D:/Kuliah/Semester 6/PemVis/Project/asset/Rex Orange County - Happiness.lrc
It's You,Sezairi,It's You,253,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] It's You.mp3,,2018,0,0,
Interaksi,Tulus,Manusia,173,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Interaksi.mp3,,2022,0,0,
Pano,Zack Tabudlo,Pano,275,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] Pano.mp3,,2021,0,0,
blue,yung kai,blue,221,D:/Kuliah/Semester 6/PemVis/Project/asset/[SPOTDOWNLOADER.COM] blue.mp3,,2024,0,0,
